payment_sequential_count,order_count,total_payment_value,order_share_pct
1.0,96401,15503519.3,96.94388576025744
2.0,2458,426350.04,2.47184231697506
3.0,303,38222.73,0.3047063555913113
4.0,108,11173.3,0.1086082059533387
5.0,52,6711.72,0.05229283990345938
6.0,36,6690.1900000000005,0.036202735317779566
7.0,28,6399.14,0.028157683024939664
8.0,11,1439.89,0.011061946902654867
9.0,9,1693.1,0.009050683829444892
10.0,5,537.52,0.00502815768302494
11.0,8,1301.12,0.008045052292839904
12.0,8,1968.48,0.008045052292839904
13.0,3,396.41,0.0030168946098149637
14.0,2,630.12,0.002011263073209976
15.0,2,827.75,0.002011263073209976
19.0,2,288.47,0.002011263073209976
21.0,1,161.32,0.001005631536604988
22.0,1,40.85,0.001005631536604988
26.0,1,62.68,0.001005631536604988
29.0,1,457.99,0.001005631536604988
